tumor_line,data_column,t_start_.hr.,t_end_.hr.,dex_.ug.ml.,t_cell_start.ci.,t_cell_end.ci.,chi_sq,red_chi_sq,rho_val,rho_stderr,kappainv_val,kappainv_stderr,c0_val,c0_stderr,kappac1_val,kappac1_stderr,kappac2_val,kappac2_stderr,theta_val,theta_stderr,c3_val,c3_stderr,,A col,B col,B-A col,A/B col,theta/kappac2,(theta+c3)/kappa2,Kkappa2-theta
PBT1,"Y(A1,A2)",105,487,0,0,0,174.5267169,0.459280834,0.04547757,0.000180052,0.1883974,0.00104357,0,0,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(B1,B2)",100,440,0,0.25,0.6598,77.75858642,0.141895231,0.302972074,0.007057408,0.32303399,0.007296406,0,0,0.556784512,0.024700335,0.02420882,0.001062544,8.60E-14,0.000306237,0,0,,,,,,3.55242E-12,,
PBT1,"Y(C1,C2)",100,652,0,0.125,0.4155,0.562691004,0.001026808,0.230303627,0.002637951,0.558779003,0.002881498,0,0,0.399998831,0.006383794,0.046346801,0.000498444,0.023015543,0.00031469,0,0,,,,,,0.496593994,,
PBT1,"Y(D1,D2)",100,652,0,0.05,0.33095,1.248510662,0.002278304,0.158646737,0.002698772,0.735855735,0.011107256,0,0,0.063431384,0.011881103,0.085333041,0.101973646,0.091327037,0.125884882,0,0,,,,,,1.070242381,,
PBT1,"Y(A3,A4)",110,450,1.00E-10,0,0,971.1581103,2.881774808,0.035114743,0.000399782,0.118481123,0.002410676,-0.022781879,0.002116829,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(A5,A6)",110,450,1.00E-09,0,0,235.6172223,0.699160897,0.048755758,0.000431559,0.16280287,0.001120273,0.019759205,0.002018943,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(A7,A8)",110,652,1.00E-08,0,0,837.1389588,1.553133504,0.063754928,0.000904563,0.155767289,0.000667118,0.002624296,0.00389014,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(A9,A10)",110,652,1.00E-07,0,0,11482.6259,21.3035731,0.023795962,0.001246952,0.131240113,0.002060404,-0.28491216,0.005237488,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(A11,A12)",110,652,1.00E-06,0,0,1567.376875,2.907934832,0.020735286,0.000635529,0.115397385,0.001368656,-0.231145553,0.003842273,0,0,0,0,0,0,0,0,,,,,,#DIV/0!,,
PBT1,"Y(B3,B4)",100,400,1.00E-10,0.25,0.6596,892.2909828,1.625302337,0.035114743,0.000399782,0.118481123,0.002410676,-0.207692609,0.001555246,0.194126583,0.007637902,0.041179547,0.000313027,0.0001,0,0.155507623,0.008460074,,,,,,0.00242839,,
PBT1,"Y(B5,B6)",100,448,1.00E-09,0.25,0.5282,61.60553754,0.112214094,0.048755758,0.000431559,0.16280287,0.001120273,-0.206477113,0.000854675,0.229015953,0.00297504,0.028418054,0.000244021,0.0001,0,0.095697805,0.003361037,,,,,,0.00351889,,
PBT1,"Y(B7,B8)",100,450,1.00E-08,0.25,0.3724,1825.562526,3.325250502,0.063754928,0.000904563,0.155767289,0.000667118,-0.180813514,0.006331978,0.375701717,0.035976464,0.031075348,0.00017316,0.0001,0,0.206884377,0.019891672,,,,,,0.003217985,,
PBT1,"Y(B9,B10)",100,410,1.00E-07,0.25,0.44495,675.4212142,1.230275436,0.023795962,0.001246952,0.131240113,0.002060404,-0.207416158,0.002693649,0.255130894,0.01230194,0.053809705,0.000730719,0.0001,0,0.311446225,0.011795908,,,,,,0.001858401,,
PBT1,"Y(B11,B12)",100,450,1.00E-06,0.25,0.324,587.3391191,1.069834461,0.020735286,0.000635529,0.115397385,0.001368656,-0.234627627,0.002749284,0.299364231,0.017327008,0.045966701,0.000342067,0.0001,0,0.307467555,0.012298589,,,,,,0.002175488,,
PBT1,"Y(C3,C4)",100,652,1.00E-10,0.125,0.4459,1.997268763,0.003638012,0.043950583,0.00047116,0.158020945,0.001378489,-0.157117185,0.00136801,0.067908595,0.000952639,0.030251679,0.0001584,0.023015543,0.00031469,-0.275342755,0.003698554,,,,,,0.760802169,,
