Well ID,PBT,Residual Tumor Count,Residual CI,Plated Effector,Dex(microgramsperml)
A1,PBT030,39063.75,3.7334,0,0
B1,PBT030,1830,-0.0606,2500,0
C1,PBT030,4226.25,0.3723,1250,0
D1,PBT030,27978.75,1.2426,500,0
E1,PBT128+,42918.75,2.7645,500,0
F1,PBT128+,12018.75,0.8234,1250,0
G1,PBT128+,750,-0.1528,2500,0
H1,PBT128+,38006.25,4.8967,0,0
A2,PBT030,42566.25,4.0168,0,0
B2,PBT030,1728.75,-0.0934,2500,0
C2,PBT030,4406.25,0.6176,1250,0
D2,PBT030,14628.75,1.2491,500,0
E2,PBT128+,25436.25,3.3509,500,0
F2,PBT128+,15322.5,1.253,1250,0
G2,PBT128+,622.5,-0.1655,2500,0
H2,PBT128+,21780,5.3102,0,0
A3,PBT030,38313.75,4.2109,0,0.0001
B3,PBT030,1305,-0.0863,2500,0.0001
C3,PBT030,4162.5,0.5827,1250,0.0001
D3,PBT030,10890,1.3058,500,0.0001
E3,PBT128+,18708.75,4.0458,500,0.0001
F3,PBT128+,10237.5,1.3198,1250,0.0001
G3,PBT128+,1091.25,-0.0866,2500,0.0001
H3,PBT128+,19605,5.1372,0,0.0001
A4,PBT030,24378.75,4.4955,0,0.0001
B4,PBT030,1380,-0.1086,2500,0.0001
C4,PBT030,2651.25,0.2783,1250,0.0001
D4,PBT030,8208.75,1.2776,500,0.0001
E4,PBT128+,18888.75,3.9204,500,0.0001
F4,PBT128+,7698.75,0.8272,1250,0.0001
G4,PBT128+,881.25,-0.0878,2500,0.0001
H4,PBT128+,20182.5,5.09,0,0.0001
A5,PBT030,11182.5,5.0314,0,0.001
B5,PBT030,1305,-0.0892,2500,0.001
C5,PBT030,5726.25,0.5587,1250,0.001
D5,PBT030,11152.5,1.4379,500,0.001
E5,PBT128+,21285,3.5103,500,0.001
F5,PBT128+,12311.25,1.6077,1250,0.001
G5,PBT128+,813.75,-0.0786,2500,0.001
H5,PBT128+,23988.75,4.9431,0,0.001
A6,PBT030,10350,4.9345,0,0.001
B6,PBT030,1361.25,-0.0704,2500,0.001
C6,PBT030,3866.25,0.6796,1250,0.001
D6,PBT030,10908.75,1.4278,500,0.001
E6,PBT128+,17141.25,3.7969,500,0.001
F6,PBT128+,9693.75,1.3961,1250,0.001
G6,PBT128+,1102.5,-0.0816,2500,0.001
H6,PBT128+,18363.75,5.3259,0,0.001
A7,PBT030,5115,7.0352,0,0.01
B7,PBT030,1710,-0.0509,2500,0.01
C7,PBT030,4080,0.4042,1250,0.01
D7,PBT030,6442.5,1.2017,500,0.01
E7,PBT128+,17182.5,3.9895,500,0.01
F7,PBT128+,15731.25,2.2431,1250,0.01
G7,PBT128+,1218.75,0.004,2500,0.01
H7,PBT128+,22083.75,4.7498,0,0.01
A8,PBT030,2703.75,6.6993,0,0.01
B8,PBT030,1275,-0.0561,2500,0.01
C8,PBT030,4230,0.3263,1250,0.01
D8,PBT030,6176.25,1.0558,500,0.01
E8,PBT128+,21510,4.3111,500,0.01
F8,PBT128+,10248.75,1.5612,1250,0.01
G8,PBT128+,2208.75,0.1137,2500,0.01
H8,PBT128+,19668.75,4.8098,0,0.01
A9,PBT030,3727.5,8.122,0,0.1
B9,PBT030,1646.25,-0.068,2500,0.1
C9,PBT030,3997.5,0.2662,1250,0.1
D9,PBT030,4762.5,2.1421,500,0.1
E9,PBT128+,18105,3.7886,500,0.1
F9,PBT128+,23118.75,3.2694,1250,0.1
G9,PBT128+,8302.5,1.3072,2500,0.1
H9,PBT128+,18637.5,4.5627,0,0.1
A10,PBT030,3401.25,7.7776,0,0.1
B10,PBT030,1612.5,-0.0751,2500,0.1
C10,PBT030,3768.75,0.3203,1250,0.1
D10,PBT030,5250,1.7339,500,0.1
E10,PBT128+,24228.75,3.9379,500,0.1
F10,PBT128+,20655,3.1547,1250,0.1
G10,PBT128+,4488.75,0.5589,2500,0.1
H10,PBT128+,19462.5,4.6513,0,0.1
A11,PBT030,3048.75,7.6994,0,1
B11,PBT030,1777.5,-0.04,2500,1
C11,PBT030,4620,0.3382,1250,1
D11,PBT030,6333.75,2.1187,500,1
E11,PBT128+,18592.5,3.944,500,1
F11,PBT128+,23193.75,3.4823,1250,1
G11,PBT128+,13845,1.959,2500,1
H11,PBT128+,19807.5,4.4651,0,1
A12,PBT030,3341.25,7.6268,0,1
B12,PBT030,2130,-0.0367,2500,1
C12,PBT030,3817.5,0.3689,1250,1
D12,PBT030,4203.75,1.9711,500,1
E12,PBT128+,21131.25,3.8595,500,1
F12,PBT128+,21521.25,4.0233,1250,1
G12,PBT128+,6401.25,1.2253,2500,1
H12,PBT128+,18356.25,4.5055,0,1
A1,PBT138 mid,17538.75,0.9511,0,0
B1,PBT138 mid,716.25,-0.2118,2500,0
C1,PBT138 mid,2580,-0.1709,1250,0
D1,PBT138 mid,7728.75,0.1365,500,0
E1,PBT138 high,2002.5,-0.1806,500,0
F1,PBT138 high,600,-0.2267,1250,0
G1,PBT138 high,446.25,-0.2297,2500,0
H1,PBT138 high,29685,2.381,0,0
A2,PBT138 mid,10170,0.9798,0,0
B2,PBT138 mid,412.5,-0.2091,2500,0
C2,PBT138 mid,1432.5,-0.132,1250,0
D2,PBT138 mid,4897.5,0.0409,500,0
E2,PBT138 high,2321.25,0.0392,500,0
F2,PBT138 high,348.75,-0.2099,1250,0
G2,PBT138 high,228.75,-0.207,2500,0
H2,PBT138 high,20317.5,2.8351,0,0
A3,PBT138 mid,11081.25,1.131,0,0.0001
B3,PBT138 mid,420,-0.1793,2500,0.0001
C3,PBT138 mid,926.25,-0.1474,1250,0.0001
D3,PBT138 mid,5677.5,0.251,500,0.0001
E3,PBT138 high,2115,-0.0546,500,0.0001
F3,PBT138 high,303.75,-0.1875,1250,0.0001
G3,PBT138 high,258.75,-0.2315,2500,0.0001
H3,PBT138 high,20658.75,2.6224,0,0.0001
A4,PBT138 mid,12045,1.1684,0,0.0001
B4,PBT138 mid,382.5,-0.1771,2500,0.0001
C4,PBT138 mid,772.5,-0.1501,1250,0.0001
D4,PBT138 mid,5546.25,0.3757,500,0.0001
E4,PBT138 high,1931.25,-0.1003,500,0.0001
F4,PBT138 high,273.75,-0.1624,1250,0.0001
G4,PBT138 high,228.75,-0.1735,2500,0.0001
H4,PBT138 high,22338.75,2.6991,0,0.0001
A5,PBT138 mid,15022.5,1.2356,0,0.001
B5,PBT138 mid,318.75,-0.1607,2500,0.001
C5,PBT138 mid,1117.5,-0.1206,1250,0.001
D5,PBT138 mid,5182.5,0.3023,500,0.001
E5,PBT138 high,1811.25,-0.0836,500,0.001
F5,PBT138 high,288.75,-0.1573,1250,0.001
G5,PBT138 high,303.75,-0.1831,2500,0.001
H5,PBT138 high,25721.25,2.8061,0,0.001
